"","subj","item","pred","rt"
"1",1,1,1,267.594712860676
"2",1,3,1,395.737003999724
"3",1,5,1,338.810416564161
"4",1,7,1,180.275523084627
"5",1,9,1,316.585647355753
"6",1,11,1,345.304021233379
"7",1,13,1,421.511997511056
"8",1,15,1,466.121611530536
"9",1,17,1,312.934384884655
"10",1,19,1,193.69872097741
"11",1,21,1,299.642170613908
"12",1,23,1,590.714686567708
"13",1,25,1,493.520745918536
"14",1,27,1,282.784735851101
"15",1,29,1,447.383437457154
"16",1,31,1,204.472834430403
"17",1,33,1,259.627894669609
"18",1,35,1,497.570666861369
"19",2,1,1,539.126565158056
"20",2,3,1,337.078377970402
"21",2,5,1,363.268736471636
"22",2,7,1,408.876690994154
"23",2,9,1,296.275267122779
"24",2,11,1,365.268070237891
"25",2,13,1,278.205197284389
"26",2,15,1,368.802041937673
"27",2,17,1,430.311545374074
"28",2,19,1,328.34960945837
"29",2,21,1,465.783993564889
"30",2,23,1,305.09268817336
"31",2,25,1,306.254083532933
"32",2,27,1,314.932344851983
"33",2,29,1,409.851038993139
"34",2,31,1,250.091549944576
"35",2,33,1,399.275250505291
"36",2,35,1,320.628436504589
"37",3,1,1,290.676991644793
"38",3,3,1,371.876795934663
"39",3,5,1,271.488713638265
"40",3,7,1,367.006374013355
"41",3,9,1,314.527376571813
"42",3,11,1,359.77671512344
"43",3,13,1,216.500436766056
"44",3,15,1,316.774774307736
"45",3,17,1,291.440493497429
"46",3,19,1,298.127666652543
"47",3,21,1,367.435136661924
"48",3,23,1,340.796167846028
"49",3,25,1,291.831974953719
"50",3,27,1,415.504185742963
"51",3,29,1,374.069816358171
"52",3,31,1,277.903146699934
"53",3,33,1,274.329379510658
"54",3,35,1,204.472259280914
"55",4,1,1,318.634865798923
"56",4,3,1,414.446710840727
"57",4,5,1,371.873319940459
"58",4,7,1,279.756337751063
"59",4,9,1,453.291759269445
"60",4,11,1,382.234275170398
"61",4,13,1,332.328680145758
"62",4,15,1,269.724791412583
"63",4,17,1,263.089275790729
"64",4,19,1,438.653759521659
"65",4,21,1,248.652956695695
"66",4,23,1,280.711453007978
"67",4,25,1,293.059177736665
"68",4,27,1,486.818834054632
"69",4,29,1,268.192779762159
"70",4,31,1,470.307108852672
"71",4,33,1,207.15615820759
"72",4,35,1,336.127902902124
"73",5,1,1,525.746337233659
"74",5,3,1,425.327171855181
"75",5,5,1,333.347667451651
"76",5,7,1,296.18642134277
"77",5,9,1,312.807551881046
"78",5,11,1,350.121793204768
"79",5,13,1,358.44773808538
"80",5,15,1,220.611592108339
"81",5,17,1,233.862038329828
"82",5,19,1,419.131229870482
"83",5,21,1,531.095969275573
"84",5,23,1,304.205359246813
"85",5,25,1,279.214324197732
"86",5,27,1,215.196253855534
"87",5,29,1,356.081806046336
"88",5,31,1,396.719282310123
"89",5,33,1,385.316929282444
"90",5,35,1,416.335563257493
"91",6,1,1,340.227312783165
"92",6,3,1,316.055002940655
"93",6,5,1,398.214379065491
"94",6,7,1,386.241420541543
"95",6,9,1,254.934797571795
"96",6,11,1,438.068134943756
"97",6,13,1,318.971705800742
"98",6,15,1,391.908620797773
"99",6,17,1,328.832722642025
"100",6,19,1,389.385261716567
"101",6,21,1,354.673435263765
"102",6,23,1,250.07759895757
"103",6,25,1,289.729275228968
"104",6,27,1,404.567274408381
"105",6,29,1,298.77737530013
"106",6,31,1,442.477852508261
"107",6,33,1,574.478900542004
"108",6,35,1,340.26113445692
"109",7,1,1,420.817446029015
"110",7,3,1,282.014046209454
"111",7,5,1,342.233577535052
"112",7,7,1,379.107596656183
"113",7,9,1,350.11290404261
"114",7,11,1,418.945043642272
"115",7,13,1,379.506253550335
"116",7,15,1,289.401405787647
"117",7,17,1,430.684322876632
"118",7,19,1,480.119218099884
"119",7,21,1,392.685953044793
"120",7,23,1,627.33159199317
"121",7,25,1,393.782263247803
"122",7,27,1,287.796560775911
"123",7,29,1,338.781550631027
"124",7,31,1,201.477673075242
"125",7,33,1,239.731082515258
"126",7,35,1,272.787884313001
"127",8,1,1,376.983474120179
"128",8,3,1,352.945496430477
"129",8,5,1,557.29801677787
"130",8,7,1,464.908606472849
"131",8,9,1,382.093323086111
"132",8,11,1,324.165875841819
"133",8,13,1,334.360592029463
"134",8,15,1,330.458882303703
"135",8,17,1,283.4032720655
"136",8,19,1,450.741687996576
"137",8,21,1,392.406524716317
"138",8,23,1,296.113679488042
"139",8,25,1,258.312309705919
"140",8,27,1,470.305427275236
"141",8,29,1,346.661056561938
"142",8,31,1,275.941019617146
"143",8,33,1,303.885588935853
"144",8,35,1,301.729166225414
"145",9,1,1,335.066693246602
"146",9,3,1,318.209296439462
"147",9,5,1,352.47112763589
"148",9,7,1,316.217837991722
"149",9,9,1,360.862130489465
"150",9,11,1,291.737665269352
"151",9,13,1,363.139391681695
"152",9,15,1,394.05701161101
"153",9,17,1,414.454524298528
"154",9,19,1,326.189614522083
"155",9,21,1,248.682144240516
"156",9,23,1,324.614881589039
"157",9,25,1,449.502027896816
"158",9,27,1,419.318932432542
"159",9,29,1,500.65391097094
"160",9,31,1,466.219283677122
"161",9,33,1,262.884210288726
"162",9,35,1,230.473211779181
"163",10,1,1,320.549269009485
"164",10,3,1,299.654590453265
"165",10,5,1,350.723218619262
"166",10,7,1,330.968803071383
"167",10,9,1,295.741774761586
"168",10,11,1,539.499600306551
"169",10,13,1,572.138378804338
"170",10,15,1,336.56784348449
"171",10,17,1,214.434017955429
"172",10,19,1,454.489336947651
"173",10,21,1,361.931969358504
"174",10,23,1,438.198199222426
"175",10,25,1,269.846279011586
"176",10,27,1,305.787150703307
"177",10,29,1,297.692678694516
"178",10,31,1,293.285657972293
"179",10,33,1,442.570322380001
"180",10,35,1,326.964693296087
"181",11,1,1,194.125575293616
"182",11,3,1,322.637806996839
"183",11,5,1,268.792270349577
"184",11,7,1,289.7905490279
"185",11,9,1,256.978007066421
"186",11,11,1,353.638047059549
"187",11,13,1,525.167603932324
"188",11,15,1,404.116394671009
"189",11,17,1,252.492620738312
"190",11,19,1,249.778515682303
"191",11,21,1,352.162858418762
"192",11,23,1,197.1882834745
"193",11,25,1,401.064292732435
"194",11,27,1,299.205204662045
"195",11,29,1,328.706047840348
"196",11,31,1,260.350881247756
"197",11,33,1,311.14224908581
"198",11,35,1,236.820664829364
"199",12,1,1,386.717217525322
"200",12,3,1,358.4979885245
"201",12,5,1,332.284797730394
"202",12,7,1,411.272096089592
"203",12,9,1,439.188082616167
"204",12,11,1,487.449961338469
"205",12,13,1,462.599646013927
"206",12,15,1,365.0458581062
"207",12,17,1,346.931685089953
